Shape *,admin4Name_en,admin4Pcode,admin4RefName,admin3Name_en,admin3Pcode,admin2Name_en,admin2Pcode,admin1Name_en,admin1Pcode,admin0Name_en,admin0Pcode,Shape_Length,Shape_Area
Polygon,Mongo,SL01030205,Mongo,Gbane,SL010302,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.692126,0.011709
Polygon,Bunabu,SL01030501,Bunabu,Gorama Kono,SL010305,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.501905,0.011487
Polygon,Kangama,SL01030502,Kangama,Gorama Kono,SL010305,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.471885,0.010005
Polygon,Selokoma,SL01030503,Selokoma,Gorama Kono,SL010305,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.352124,0.004582
Polygon,Koaro,SL01030704,Koaro,Lei,SL010307,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.48325,0.008668
Polygon,Peyifeh,SL01031004,Peyifeh,Nimiyama,SL010310,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.312928,0.005446
Polygon,Tama,SL01031005,Tama,Nimiyama,SL010310,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.332085,0.005037
Polygon,Fakongofeh,SL01031103,Fakongofeh,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.504986,0.011608
Polygon,Kawafeh,SL01031104,Kawafeh,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.546719,0.011211
Polygon,Samgbafeh,SL01031106,Samgbafeh,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.444742,0.008288
Polygon,Sinkongofeh,SL01031107,Sinkongofeh,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.464391,0.008905
Polygon,Sumunjifeh,SL01031108,Sumunjifeh,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.555201,0.010354
Polygon,Tharma Forest,SL01031109,Tharma Forest,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.679573,0.016775
Polygon,Yawatanda,SL01031110,Yawatanda,Sandor,SL010311,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.779991,0.020114
Polygon,Sawa Fiama,SL01031206,Sawa Fiama,Soa,SL010312,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.426417,0.006525
Polygon,Komadu,SL01031402,Komadu,Toli,SL010314,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.299061,0.004133
Polygon,Kwidu,SL01031403,Kwidu,Toli,SL010314,Kono,SL0103,Eastern,SL01,Sierra Leone,SL,0.250832,0.002808
Polygon,Konta,SL02020111,Konta,Bramaia,SL020201,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,0.423032,0.008708
Polygon,Kamassassa,SL02020702,Kamassassa,Tonko Limba,SL020207,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,0.665179,0.024143
Polygon,Yebaya,SL02020706,Yebaya,Tonko Limba,SL020207,Kambia,SL0202,Northern,SL02,Sierra Leone,SL,0.90728,0.011958
Polygon,Marunia Koray,SL02050403,Marunia Koray,Kholifa Mabang,SL020504,Tonkolili,SL0205,Northern,SL02,Sierra Leone,SL,0.341687,0.003653
Polygon,Saradu,SL02030605,Saradu,Neya,SL020306,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,1.016137,0.031629
Polygon,Sumbaria,SL02030703,Sumbaria,Nieni,SL020307,Koinadugu,SL0203,Northern,SL02,Sierra Leone,SL,0.759689,0.017618
Polygon,Kahekay,SL03020404,Kahekay,Imperri,SL030204,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.448886,0.005227
Polygon,Yurika,SL02040614,Yurika,Lokomasama,SL020406,Port Loko,SL0204,Northern,SL02,Sierra Leone,SL,0.575006,0.010816
Polygon,Ba-Kobotu,SL03020601,Ba-Kobotu,Kpanda Kemo,SL030206,Bonthe,SL0302,Southern,SL03,Sierra Leone,SL,0.303988,0.002177
Polygon,Benkeh,SL03030102,Benkeh,Bagruwa,SL030301,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,0.943669,0.018941
Polygon,Njagbema,SL03030705,Njagbema,Kamajei,SL030307,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,0.312043,0.002831
Polygon,Yeima,SL03030707,Yeima,Kamajei,SL030307,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,0.354564,0.004961
Polygon,Lower Ribbi,SL03031202,Lower Ribbi,Ribbi,SL030312,Moyamba,SL0303,Southern,SL03,Sierra Leone,SL,0.406057,0.006627
Polygon,Pembaar,SL03040705,Pembaar,Mono Sakrim,SL030407,Pujehun,SL0304,Southern,SL03,Sierra Leone,SL,0.293314,0.004047
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
